LAMMPS data file via write_data, version 15 May 2015, timestep = 20178

23496 atoms
8 atom types

1.2194889776003200e-01 1.4635124102239960e+01 xlo xhi
6.5501877592645669e-02 5.9633449812242259e+02 ylo yhi
-5.0000000000000000e+00 6.1977999999999997e+02 zlo zhi

Masses

1 12.0107
2 12.0107
3 12.0107
4 12.0107
5 12.0107
6 12.0107
7 12.0107
8 12.0107

Atoms # atomic

1 1 1.2194889776296028e-01 4.9962579567791527e+00 4.5120917849528459e-05 0 0 0
2 1 1.3313800828404330e+00 5.6651709563554249e+00 -5.1948546469127814e-05 0 0 0
3 1 1.3313800828393689e+00 7.0766892838286681e+00 -2.8261013466518371e-04 0 0 0
4 1 1.2194889776485364e-01 7.7745722843339484e+00 -1.0830055244362596e-04 0 0 0
5 1 1.2194889776530923e-01 9.1709826641513761e+00 -1.9682390879217299e-04 0 0 0
561 1 2.5408112679150685e+00 4.9962579567762306e+00 4.5120916840491543e-05 0 0 0
562 1 3.7502424529615785e+00 5.6651709563472297e+00 -5.1948552116916610e-05 0 0 0
563 1 3.7502424529494238e+00 7.0766892838207553e+00 -2.8261014314066027e-04 0 0 0
564 1 2.5408112679075390e+00 7.7745722843330816e+00 -1.0830055459175826e-04 0 0 0
565 1 2.5408112679062773e+00 9.1709826641506282e+00 -1.9682391111805185e-04 0 0 0
1121 1 4.9596736382024735e+00 4.9962579567564340e+00 4.5120905506980224e-05 0 0 0
1122 1 6.1691048534155843e+00 5.6651709797365779e+00 -5.1948578173046052e-05 0 0 0
1123 1 6.1691048524582017e+00 7.0766892606557033e+00 -2.8261016439871624e-04 0 0 0
1124 1 4.9596736381536726e+00 7.7745722843146634e+00 -1.0830058253590306e-04 0 0 0
1125 1 4.9596736381480868e+00 9.1709826641575294e+00 -1.9682394123634065e-04 0 0 0
4483 1 6.1691048524067034e+00 8.4729026085203518e+00 3.3400275509688555e+00 0 0 0
1684 1 7.3785364491617500e+00 7.7745720651371100e+00 -1.0830029983323898e-04 0 0 0
1685 1 7.3785364491427980e+00 9.1709828832789331e+00 -1.9682379481110278e-04 0 0 0
3361 1 1.2194889776495857e-01 6.3926934790485754e+00 3.3400191263958661e+00 0 0 0
3362 1 1.3313800828382454e+00 7.0614813334465056e+00 3.3400224923753328e+00 0 0 0
3363 1 1.3313800828373481e+00 8.4729026316855407e+00 3.3400275509723234e+00 0 0 0
4484 2 4.9818602210803764e+00 9.1791275244790533e+00 3.4070360855213035e+00 0 0 0
3921 1 2.5408112679077814e+00 6.3926934790452687e+00 3.3400191263957066e+00 0 0 0
3922 1 3.7502424529430214e+00 7.0614813334392705e+00 3.3400224923745907e+00 0 0 0
3923 1 3.7502424529327389e+00 8.4729026316790765e+00 3.3400275509713979e+00 0 0 0
3924 2 2.5763310193001865e+00 9.1924058213314712e+00 3.2435537022211491e+00 0 0 0
