#! 1.step 2.t, ps 3.U, eV 4.K, eV 5.T, K 6.s11, bar 7.s22, bar 8.s33, bar 9.s12, bar 10.s23, bar 11.s31, bar 12.Pxx, bar 13.Pyy, bar 14.Pzz, bar 15.Pxy, bar 16.Pyz, bar 17.Pzx, bar #18.fdx, eV 19.fdy, eV 20.fdz, eV 21.nn 23.ucz, A
# TimeStep v_time c_pe c_ke c_temp v_s11 v_s22 v_s33 v_s12 v_s23 v_s31 c_p[1] c_p[2] c_p[3] c_p[4] c_p[6] c_p[5] c_fdx c_fdy c_fdz c_cn c_ucz
5800 5.7005 -7.43244 0.0385307 298.383 22726.5 -4085.83 -1614 886.009 29.8547 100.084 -186.94 1572.69 729.43 -329.334 1.97029 -39.5788 -0.0255573 -0.0257089 -0.0262892 2.94412 0.0894635
6000 5.9005 -7.43239 0.0384989 298.136 22803.6 -4352.5 -1490.7 219.39 18.9135 -79.9832 -212.925 1649.05 702.783 -70.9654 5.89767 34.86 -0.0257696 -0.0257464 -0.0262971 2.94412 0.141357
6200 6.1005 -7.43256 0.0380877 294.952 22763.2 -3840.52 -1456.63 -1349.44 14.5545 47.6553 -229.942 1452.98 643.068 513.797 -0.0736746 -16.8345 -0.0258897 -0.0258001 -0.0258363 2.94412 0.192321
6400 6.3005 -7.43283 0.0381294 295.275 23448 -837.737 -944.403 -140.498 12.1808 -55.464 -457.904 283.267 458.544 66.4151 -1.47026 20.1166 -0.0254081 -0.0258803 -0.0255581 2.94412 0.23642
6600 6.5005 -7.43296 0.0378261 292.926 23277 -1400.51 -1478.61 1049.63 -65.2832 8.04189 -402.075 507.607 636.273 -408.522 17.1065 -2.83975 -0.0251175 -0.0261198 -0.0255619 2.94412 0.276714
6800 6.7005 -7.43303 0.0376618 291.654 23216.4 -1995.38 -1125.99 548.755 43.9085 132.542 -385.599 769.345 519.074 -218.022 -21.9688 -50.9245 -0.0254406 -0.0254873 -0.0253426 2.94412 0.29381
7000 6.9005 -7.43278 0.0378253 292.92 23748.3 -46.2982 -1117.65 -874.962 -111.277 -127.704 -561.793 -29.7892 504.878 336.561 41.7949 47.1641 -0.0252857 -0.0257549 -0.0261024 2.94412 0.295192
7200 7.1005 -7.43295 0.037865 293.227 23402.5 -920.305 -1225.29 -1009.64 -135.025 41.8388 -461.545 345.171 553.056 377.939 45.2608 -13.8218 -0.025191 -0.0260529 -0.0254219 2.94412 0.26993
7400 7.3005 -7.43307 0.0376461 291.532 23020 -2895.76 -934.944 374.714 58.149 -24.5821 -300.164 1084.01 460.257 -130.661 -33.4148 13.1207 -0.0256068 -0.0254505 -0.0249185 2.94412 0.244038
7600 7.5005 -7.43284 0.0377653 292.455 22965.6 -3140.03 -951.914 1206.39 15.5272 145.16 -269.713 1167.8 452.449 -472.649 -5.0948 -57.1342 -0.0254305 -0.0258074 -0.0259794 2.94412 0.213475
